user_id,user_first_touch_timestamp,email,updated
UA000000102357342,1592186472674837,null,2022-01-28T20:14:29.786+0000
UA000000102357426,1592190968723234,null,2022-01-28T20:14:29.786+0000
UA000000102357437,1592191322289249,null,2022-01-28T20:14:29.786+0000
UA000000102357501,1592192694025276,null,2022-01-28T20:14:29.786+0000
UA000000102357654,1592195239751400,kkramer@simon.org,2022-01-28T20:14:29.786+0000
UA000000102357681,1592195643598390,null,2022-01-28T20:14:29.786+0000
UA000000102357796,1592196845283141,null,2022-01-28T20:14:29.786+0000
UA000000102357882,1592197566989840,null,2022-01-28T20:14:29.786+0000
UA000000102357955,1592198142740766,null,2022-01-28T20:14:29.786+0000
UA000000102358219,1592199712019688,jefferyfisher@yahoo.com,2022-01-28T20:14:29.786+0000
UA000000102358220,1592199713367471,null,2022-01-28T20:14:29.786+0000
UA000000102358295,1592200116543579,amandaallen@moore-mendoza.org,2022-01-28T20:14:29.786+0000
UA000000102358328,1592200295097372,null,2022-01-28T20:14:29.786+0000
UA000000102358405,1592200616203112,null,2022-01-28T20:14:29.786+0000
UA000000102358721,1592201867725140,null,2022-01-28T20:14:29.786+0000
UA000000102358740,1592201946050675,null,2022-01-28T20:14:29.786+0000
UA000000102358951,1592202631843127,yroy@gmail.com,2022-01-28T20:14:29.786+0000
UA000000102358973,1592202687888349,null,2022-01-28T20:14:29.786+0000
UA000000102358974,1592202696476451,null,2022-01-28T20:14:29.786+0000
UA000000102359081,1592203059579842,dbrown33@yahoo.com,2022-01-28T20:14:29.786+0000
UA000000102359289,1592203666051789,null,2022-01-28T20:14:29.786+0000
UA000000102359394,1592203898477739,null,2022-01-28T20:14:29.786+0000
UA000000102359437,1592203984431470,null,2022-01-28T20:14:29.786+0000
UA000000102359564,1592204297450122,jenkinsveronica@gmail.com,2022-01-28T20:14:29.786+0000
UA000000102359628,1592204445331867,null,2022-01-28T20:14:29.786+0000
UA000000102359829,1592204881265566,rosejohn69@yahoo.com,2022-01-28T20:14:29.786+0000
UA000000102360058,1592205380926831,null,2022-01-28T20:14:29.786+0000
UA000000102360173,1592205604906682,null,2022-01-28T20:14:29.786+0000
UA000000102360252,1592205767595966,null,2022-01-28T20:14:29.786+0000
UA000000102360389,1592206016470258,null,2022-01-28T20:14:29.786+0000
UA000000102360476,1592206168602795,null,2022-01-28T20:14:29.786+0000
UA000000102360492,1592206190694189,null,2022-01-28T20:14:29.786+0000
UA000000102360738,1592206636388583,null,2022-01-28T20:14:29.786+0000
UA000000102361167,1592207317765953,null,2022-01-28T20:14:29.786+0000
UA000000102361183,1592207343477425,null,2022-01-28T20:14:29.786+0000
UA000000102361483,1592207770197611,shanewilliams@johnson.org,2022-01-28T20:14:29.786+0000
UA000000102361489,1592207773310513,null,2022-01-28T20:14:29.786+0000
UA000000102361964,1592208390371135,null,2022-01-28T20:14:29.786+0000
UA000000102362131,1592208598097520,josephhunter@shaffer-cooper.net,2022-01-28T20:14:29.786+0000
UA000000102362133,1592208599213040,null,2022-01-28T20:14:29.786+0000
UA000000102362138,1592208605188764,null,2022-01-28T20:14:29.786+0000
UA000000102362447,1592208987042644,perickson@bowen.info,2022-01-28T20:14:29.786+0000
UA000000102362679,1592209287701911,null,2022-01-28T20:14:29.786+0000
UA000000102362767,1592209372722223,null,2022-01-28T20:14:29.786+0000
UA000000102362804,1592209414561297,null,2022-01-28T20:14:29.786+0000
UA000000102362875,1592209489297588,null,2022-01-28T20:14:29.786+0000
UA000000102363024,1592209657941251,gregorytorres@meyer.com,2022-01-28T20:14:29.786+0000
UA000000102363382,1592210012779267,null,2022-01-28T20:14:29.786+0000
UA000000102363415,1592210043681225,null,2022-01-28T20:14:29.786+0000
UA000000102363695,1592210331527370,null,2022-01-28T20:14:29.786+0000
UA000000102363696,1592210331778374,null,2022-01-28T20:14:29.786+0000
UA000000102364140,1592210726117606,yschwartz@gmail.com,2022-01-28T20:14:29.786+0000
UA000000102364299,1592210907510143,null,2022-01-28T20:14:29.786+0000
UA000000102364886,1592211417776891,null,2022-01-28T20:14:29.786+0000
UA000000102364917,1592211443616458,null,2022-01-28T20:14:29.786+0000
UA000000102364949,1592211470191824,null,2022-01-28T20:14:29.786+0000
UA000000102364982,1592211501556507,null,2022-01-28T20:14:29.786+0000
UA000000102365131,1592211616742552,null,2022-01-28T20:14:29.786+0000
UA000000102365346,1592211804652490,null,2022-01-28T20:14:29.786+0000
UA000000102365449,1592211887179892,null,2022-01-28T20:14:29.786+0000
UA000000102365473,1592211901977278,james24@beck.com,2022-01-28T20:14:29.786+0000
UA000000102365732,1592212112827791,null,2022-01-28T20:14:29.786+0000
UA000000102366459,1592212676659368,null,2022-01-28T20:14:29.786+0000
UA000000102366584,1592212768997975,null,2022-01-28T20:14:29.786+0000
UA000000102366675,1592212834314094,null,2022-01-28T20:14:29.786+0000
UA000000102366852,1592212970215999,null,2022-01-28T20:14:29.786+0000
UA000000102366872,1592212983093084,null,2022-01-28T20:14:29.786+0000
